ID,Day,Month,Year,Colony,Locality,Municipality,Province,Region,Longtitude,Latitude
ID_24,10,10,2014,,,NICOTERA,VV,CALAMBRIA,15.94675,38.55376
ID_25,13,10,2014,,,CANDIDONI,RC,CALAMBRIA,15.98409,38.5154
ID_26,13,10,2014,,,ROSARNO,RC,CALAMBRIA,15.98946,38.47628
ID_27,13,10,2014,,,SAN FERDINANDO,RC,CALAMBRIA,15.9286,38.49137
ID_28,13,10,2014,,,TAURIANOVA,RC,CALAMBRIA,15.95596,38.38806
ID_29,13,10,2014,,,MELICUCCO,RC,CALAMBRIA,16.03037,38.46835
ID_30,13,10,2014,Natural,,GIOIA TAURO,RC,CALAMBRIA,15.91812,38.44125
ID_31,13,10,2014,Sentinel,,GIOIA TAURO,RC,CALAMBRIA,15.94471,38.4548
ID_32,14,10,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.88104,38.42309
ID_33,14,10,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.93704,38.40928
ID_34,14,10,2014,,,RIZZICONI,RC,CALAMBRIA,15.97412,38.42539
ID_35,14,10,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.91096,38.38474
ID_36,15,10,2014,,,SANTA CRISTINA D'ASPROMONTE,RC,CALAMBRIA,15.94803,38.27938
ID_37,15,10,2014,,,OPPIDO MAMERTINA,RC,CALAMBRIA,15.9217,38.32311
ID_38,15,10,2014,,,RIZZICONI,RC,CALAMBRIA,15.92349,38.37118
ID_39,15,10,2014,,,SAN FERDINANDO,RC,CALAMBRIA,15.91607,38.49162
ID_40,16,10,2014,,,CANDIDONI,RC,CALAMBRIA,15.97718,38.51029
ID_41,16,10,2014,,,TAURIANOVA,RC,CALAMBRIA,15.93448,38.36249
ID_42,17,10,2014,,,SAN CALOGERO,VV,CALAMBRIA,15.99432,38.52419
ID_43,20,10,2014,,,ROSARNO,RC,CALAMBRIA,15.94701,38.49878
ID_44,20,10,2014,,,VARAPODIO,RC,CALAMBRIA,15.95826,38.35328
ID_45,20,10,2014,,,OPPIDO MAMERTINA,RC,CALAMBRIA,15.9217,38.32311
ID_46,20,10,2014,,,OPPIDO MAMERTINA,RC,CALAMBRIA,15.93678,38.34536
ID_47,20,10,2014,,,LIMBADI,VV,CALAMBRIA,15.98537,38.54072
ID_48,22,10,2014,,,OPPIDO MAMERTINA,RC,CALAMBRIA,15.9217,38.32311
ID_49,24,10,2014,,,OPPIDO MAMERTINA,RC,CALAMBRIA,15.94369,38.33359
ID_50,31,10,2014,,,VARAPODIO,RC,CALAMBRIA,15.98767,38.32285
ID_51_t,31,10,2014,,,CINQUEFRONDI,RC,CALAMBRIA,16.10632,38.42872
ID_52,4,11,2014,,,TERRANOVA SAPPO MINULIO,RC,CALAMBRIA,16.01963,38.33436
ID_53_t,7,11,2014,,,MELILLI,SR,SICILIA,15.05953,37.26999
ID_54,14,11,2014,Sentinel,,ROSARNO,RC,CALAMBRIA,15.94931,38.4658
ID_55,18,11,2014,,,SAN PROCOPIO,RC,CALAMBRIA,15.90303,38.31493
ID_56,21,11,2014,,,COSOLETO,RC,CALAMBRIA,15.92349,38.31186
ID_57,25,11,2014,,,OPPIDO MAMERTINA,RC,CALAMBRIA,15.93678,38.34536
ID_58,25,11,2014,,,COSOLETO,RC,CALAMBRIA,15.92349,38.31186
ID_59,27,12,2014,,,SAN PROCOPIO,RC,CALAMBRIA,15.91863,38.33283
ID_60,10,12,2014,,,CITTANOVA,RC,CALAMBRIA,16.03983,38.42514
ID_61,29,12,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.9621,38.4525
ID_1,16,9,2015,,FIGURELLE DI SAN MARTINO,TAURIANOVA,RC,CALABRIA,15.96113,38.36641
ID_2,28,9,2015,,C.DA SALVATORE,VARAPODIO,RC,CALABRIA,15.97598,38.33540
ID_3,28,9,2015,,C.DA CALIPO,VARAPODIO,RC,CALABRIA,15.95371,38.33381
ID_4,29,9,2015,,C.DA CAVALIERE NUOVO,OPPIDO MAMERTINA,RC,CALABRIA,15.92588,38.32401
ID_5,8,10,2015,,C.DA DELIA,OPPIDO MAMERTINA,RC,CALABRIA,15.92244,38.34203
ID_6,9,10,2015,,C.DA FERRANDINA,OPPIDO MAMERTINA,RC,CALABRIA,15.93702,38.34044
ID_7,9,10,2015,,PONTE QUARANTA,RIZZICONI,RC,CALABRIA,15.93357,38.36482
ID_8,9,10,2015,,C.DA FORESTA,RIZZICONI,RC,CALABRIA,15.92933,38.37384
ID_9,9,10,2015,,C.DA FORESTA,VARAPODIO,RC,CALABRIA,15.95424,38.35369
ID_10,12,10,2015,,C.DA MAZZAFERRO,GIOIA TAURO,RC,CALABRIA,15.91343,38.44195
ID_11,12,10,2015,,C.DA GIAMBRA,GIOIA TAURO,RC,CALABRIA,15.88215,38.42128
ID_12,12,10,2015,,C.DA PETRACE 1,GIOIA TAURO,RC,CALABRIA,15.90998,38.39954
ID_13,12,10,2015,,C.DA PETRACE 2,GIOIA TAURO,RC,CALABRIA,15.91025,38.39318
ID_14,13,10,2015,,C.DA PADRIPODI,GIOIA TAURO,RC,CALABRIA,15.92588,38.43241
ID_15,13,10,2015,,C.DA BOSCO SELVAGGIO,RIZZICONI,RC,CALABRIA,15.97068,38.44221
ID_16,15,10,2015,,C.DA PONTE VECCHIO,GIOIA TAURO,RC,CALABRIA,15.92350,38.38762
ID_17,15,10,2015,,C.DA QUARANTANO,OPPIDO MAMERTINA,RC,CALABRIA,15.93065,38.34945
ID_18,27,10,2015,,C.DA MARRO,VARAPODIO,RC,CALABRIA,15.96484,38.34786
ID_19,27,10,2015,,C.DA SALICE,OPPIDO MAMERTINA,RC,CALABRIA,15.92350,38.33196
ID_20,27,10,2015,,C.DA GIUSEPPINA,POLISTENA,RC,CALABRIA,16.08729,38.40405
ID_21,27,10,2015,,C.DA CORDOPATRI,GIOIA TAURO,RC,CALABRIA,15.93145,38.41068
ID_22,27,10,2015,,C.DA FERRANDINA,OPPIDO MAMERTINA,RC,CALABRIA,15.95795,38.31288
ID_23,16,11,2015,,C.DA CARUSO,SANTA CRISTINA D'ASPROMONTE,RC,CALABRIA,15.94841,38.28107
ID_24,18,11,2015,,C.DA PERGOLA 2,NICOTERA,VV,CALABRIA,15.93649,38.51643
ID_25,16,11,2015,,C.DA SERRICELLA,ROSARNO,RC,CALABRIA,15.98923,38.49151
ID_26,16,11,2015,,C.DA ZANGARI,LAUREANA DI BORRELLO,RC,CALABRIA,16.03375,38.47799
ID_27,26,11,2015,,C.DA PERGOLA 1,NICOTERA,VV,CALABRIA,15.93808,38.51510
ID_28,1,12,2015,,C.DA FERRANDINA,OPPIDO MAMERTINA,RC,CALABRIA,15.95610,38.30970
ID_29,1,12,2015,,C.DA SAN PIETRO,ROSARNO,RC,CALABRIA,15.95636,38.49337
ID_1_S_1,28,10,2015,Sentinel,C.DA CONCHE,GIOIA TAURO,RC,CALABRIA,15.96219,38.45388
ID_1_S_2,4,12,2015,Sentinel,C.DA CONCHE,GIOIA TAURO,RC,CALABRIA,15.96219,38.45388
ID_2_S_1,28,10,2015,Sentinel,C.DA GUARI,SAN FERDINANDO,RC,CALABRIA,15.95133,38.49310
ID_2_S_2,13,11,2015,Sentinel,C.DA GUARI,SAN FERDINANDO,RC,CALABRIA,15.95133,38.49310
ID_1x_t,25,7,2016,,C.DA SERRONE,GRIMALDI,CS,CALABRIA,16.211786,39.15968
ID_2x_t,28,7,2016,,C.DA FOLLE,GRIMALDI,CS,CALABRIA,16.22303,39.14915
ID_3x_t,28,7,2016,,C.DA MONTI,GRIMALDI,CS,CALABRIA,16.23969,39.14609
ID_4x_t,28,7,2016,,C.DA MAIONE,ALTILIA,CS,CALABRIA,16.24294,39.12177
ID_5x_t,12,9,2016,,C.DA TAVERNA,MALITO,CS,CALABRIA,16.26707,39.15164
ID_6,13,9,2016,,C.DA MARRO,VARAPODIO,RC,CALABRIA,15.96034,38.35078
ID_7,13,9,2016,,C.DA CAVALIERE,OPPIDO MAMERTINA,RC,CALABRIA,15.93304,38.35979
ID_8,13,9,2016,,C.DA DELIA,OPPIDO MAMERTINA,RC,CALABRIA,15.93118,38.35422
ID_9,13,9,2016,,C.DA CAMBARELLA,OPPIDO MAMERTINA,RC,CALABRIA,15.92535,38.35131
ID_10,13,9,2016,,PONTE QUARANTANO,RIZZICONI,RC,CALABRIA,15.93251,38.37410
ID_11,14,9,2016,,C.DA CORDOPATRI,GIOIA TAURO,RC,CALABRIA,15.91555,38.43718
ID_12,14,9,2016,,C.DA FERRARO,OPPIDO MAMERTINA,RC,CALABRIA,15.92270,38.34389
ID_13,14,9,2016,,C.DA BUFALO,OPPIDO MAMERTINA,RC,CALABRIA,15.93934,38.34283
